iter	RMSE
0	360694.5825
1	360097.0595
2	359477.1858
3	358934.4783
4	358437.5939
5	358032.3831
6	357653.2655
7	357305.6633
8	357045.6551
9	356767.1674
10	356512.5715
11	356327.3159
12	356182.0475
13	356023.7713
14	355875.828
15	355713.7518
16	355606.5538
17	355485.75
18	355307.3723
19	355179.9005
20	355051.8649
21	354946.5562
22	354864.8658
23	354796.218
24	354691.2636
25	354613.0491
26	354526.4816
27	354463.3351
28	354418.2445
29	354379.1067
30	354352.479
31	354314.5372
32	354277.1539
33	354231.6489
34	354192.6147
35	354157.4841
36	354124.6257
37	354103.1275
38	354054.7969
39	353986.2904
40	353968.9834
41	353950.9143
42	353918.7768
43	353863.9159
44	353835.3074
45	353815.2667
46	353800.366
47	353774.3186
48	353752.3595
49	353736.7124
50	353727.4118
51	353702.9054
52	353674.7388
53	353641.5444
54	353622.4481
55	353605.4831
56	353575.665
57	353564.6951
58	353536.0808
59	353522.0515
60	353490.9818
61	353462.8579
62	353446.5603
63	353422.1299
64	353410.9465
65	353396.5091
66	353385.1047
67	353377.2563
68	353363.5706
69	353342.3722
70	353325.1525
71	353312.8628
72	353300.499
73	353279.98
74	353278.6784
75	353256.3571
76	353248.2271
77	353237.5816
78	353219.8402
79	353218.1293
80	353204.4215
81	353199.0893
82	353187.032
83	353172.604
84	353152.2258
85	353140.9402
86	353135.1399
87	353120.7219
88	353106.5343
89	353098.4129
90	353083.9375
91	353077.2197
92	353071.807
93	353064.0785
94	353059.7784
95	353053.4281
96	353039.7171
97	353029.2736
98	353011.3304
99	353004.2297
100	352994.2015
101	352987.9911
102	352980.4352
103	352965.4704
104	352959.1465
105	352946.4476
106	352940.9901
107	352933.4594
108	352925.8617
109	352914.745
110	352899.5827
111	352890.0759
112	352881.4223
113	352867.0431
114	352850.0941
115	352843.8502
116	352837.3515
117	352832.2158
118	352823.948
119	352814.3283
120	352805.9078
121	352796.8823
122	352793.1097
123	352784.9971
124	352782.2192
125	352773.6935
126	352766.8956
127	352748.8998
128	352740.2935
129	352732.0353
130	352729.1155
131	352720.3752
132	352718.1532
133	352709.2403
134	352706.6929
135	352702.0017
136	352697.7297
137	352694.7573
138	352691.7773
139	352685.2739
140	352676.4483
141	352669.8644
142	352663.9631
143	352650.2957
144	352643.8137
145	352635.9492
146	352632.9352
147	352624.4665
148	352615.8925
149	352611.9323
150	352603.498
151	352594.2748
152	352584.8682
153	352575.1583
154	352570.6494
155	352562.1469
156	352548.8308
157	352544.5319
158	352534.8877
159	352521.8942
160	352516.9849
161	352509.5079
162	352501.7102
163	352493.7681
164	352485.986
165	352479.7977
166	352472.9443
167	352469.4242
168	352453.4538
169	352448.3311
170	352438.8881
171	352432.4481
172	352426.8943
173	352420.1509
174	352409.8729
175	352405.4958
176	352396.6751
177	352391.3166
178	352375.1309
179	352364.732
180	352353.0189
181	352343.2118
182	352334.4058
183	352328.711
184	352325.8816
185	352318.5269
186	352310.5103
187	352299.9406
188	352288.9567
189	352281.7444
190	352271.9401
191	352265.8178
192	352258.4662
193	352253.7899
194	352245.2824
195	352236.9988
196	352230.0743
197	352223.079
198	352218.0513
199	352212.8132
200	352198.6236
201	352193.3831
202	352190.0971
203	352184.4421
204	352180.9299
205	352171.3826
206	352168.0583
207	352164.0435
208	352152.3621
209	352145.7552
210	352141.6954
211	352137.3775
212	352128.8371
213	352124.9692
214	352117.8612
215	352107.0616
216	352096.6601
217	352087.7332
218	352084.0395
219	352081.5855
220	352079.3538
221	352071.6771
222	352067.9876
223	352061.7766
224	352051.7628
225	352046.8121
226	352041.0406
227	352033.28
228	352026.5555
229	352019.2059
230	352017.029
231	352014.3243
232	352011.5685
233	352003.0839
234	351996.7292
235	351992.0702
236	351987.212
237	351980.7829
238	351975.4655
239	351970.5157
240	351964.8721
241	351959.909
242	351953.3959
243	351950.331
244	351946.0553
245	351944.316
246	351941.3628
247	351936.8057
248	351935.0757
249	351930.5084
250	351924.3184
251	351922.7596
252	351912.4461
253	351907.4353
254	351902.2028
255	351900.5482
256	351896.7125
257	351893.5955
258	351889.0282
259	351885.1639
260	351881.782
261	351880.3176
262	351877.5942
263	351873.9515
264	351868.5778
265	351864.3005
266	351861.232
267	351858.6717
268	351855.516
269	351851.8348
270	351850.1806
271	351846.4515
272	351845.017
273	351841.4851
274	351838.5824
275	351836.2333
276	351831.73
277	351828.8307
278	351827.3159
279	351824.7351
280	351823.4275
281	351813.9685
282	351813.0161
283	351812.0461
284	351809.6561
285	351806.5624
286	351804.2172
287	351802.1221
288	351799.5192
289	351796.8509
290	351795.075
291	351792.3863
292	351790.7279
293	351786.9057
294	351785.295
295	351780.7888
296	351777.827
297	351774.5513
298	351773.603
299	351770.0323
300	351768.4785
301	351765.0892
302	351761.6688
303	351759.9386
304	351758.1411
305	351756.6113
306	351754.0082
307	351751.9372
308	351749.9177
309	351748.6509
310	351747.3093
311	351744.9111
312	351743.7417
313	351740.3149
314	351738.6865
315	351737.9341
316	351737.005
317	351735.5524
318	351733.5006
319	351732.4946
320	351725.169
321	351722.6511
322	351720.6332
323	351718.4188
324	351716.9446
325	351716.2094
326	351715.135
327	351713.9995
328	351713.3912
329	351711.2052
330	351703.8753
331	351702.4113
332	351700.4666
333	351699.9214
334	351698.8438
335	351698.063
336	351697.0681
337	351695.52
338	351694.6435
339	351688.087
340	351686.8957
341	351686.0493
342	351685.4284
343	351684.3097
344	351678.845
345	351677.7834
346	351675.7248
347	351670.4492
348	351669.6521
349	351666.7491
350	351666.2354
351	351664.0843
352	351661.3635
353	351659.3751
354	351657.9975
355	351656.2356
356	351654.8195
357	351654.1662
358	351652.5376
359	351652.0232
360	351651.3829
361	351649.3956
362	351648.0654
363	351646.3298
364	351644.4871
365	351642.6377
366	351642.2192
367	351637.8441
368	351637.1676
369	351636.8057
370	351635.265
371	351633.7842
372	351632.2524
373	351631.8314
374	351631.3527
375	351630.67
376	351629.7274
377	351629.0496
378	351628.1115
379	351627.7085
380	351625.8218
381	351624.2967
382	351623.3472
383	351621.6436
384	351619.9925
385	351619.4772
386	351618.1501
387	351617.7486
388	351616.7738
389	351616.3431
390	351615.2988
391	351614.9822
392	351613.9477
393	351612.7512
394	351611.6339
395	351611.373
396	351609.0301
397	351608.4367
398	351607.7732
399	351606.6168
400	351605.1244
401	351603.97
402	351601.7209
403	351600.6985
404	351599.7509
405	351598.7267
406	351598.4223
