iter	Passed	Remaining
0	133	133109
1	136	67910
2	139	46269
3	142	35593
4	147	29254
5	150	24859
6	152	21684
7	155	19343
8	160	17659
9	163	16212
10	166	15005
11	170	14038
12	173	13207
13	177	12487
14	180	11849
15	184	11347
16	189	10962
17	194	10583
18	197	10186
19	199	9798
20	203	9465
21	207	9213
22	210	8937
23	213	8691
24	216	8425
25	218	8192
26	222	8015
27	226	7855
28	228	7661
29	230	7460
30	234	7318
31	237	7191
32	240	7058
33	243	6912
34	246	6785
35	248	6649
36	252	6574
37	255	6478
38	258	6377
39	261	6276
40	264	6176
41	268	6116
42	270	6027
43	273	5941
44	275	5857
45	278	5785
46	282	5723
47	285	5666
48	288	5591
49	290	5527
50	293	5452
51	296	5396
52	300	5368
53	303	5314
54	305	5257
55	308	5199
56	311	5159
57	316	5138
58	319	5093
59	322	5048
60	325	5007
61	329	4979
62	331	4931
63	333	4882
64	336	4838
65	338	4796
66	341	4754
67	345	4732
68	347	4692
69	349	4647
70	351	4603
71	354	4563
72	356	4524
73	359	4497
74	362	4467
75	364	4434
76	367	4399
77	369	4362
78	371	4327
79	373	4295
80	377	4286
81	380	4259
82	382	4228
83	384	4197
84	387	4166
85	390	4148
86	393	4128
87	396	4104
88	398	4078
89	400	4052
90	403	4025
91	406	4013
92	409	3992
93	411	3964
94	413	3938
95	415	3912
96	417	3886
97	419	3863
98	423	3851
99	425	3827
100	427	3804
101	429	3781
102	431	3758
103	433	3735
104	435	3715
105	439	3703
106	441	3682
107	443	3661
108	445	3641
109	447	3619
110	449	3598
111	451	3582
112	455	3572
113	457	3552
114	459	3535
115	461	3518
116	463	3501
117	466	3483
118	469	3477
119	472	3463
120	474	3447
121	476	3431
122	478	3414
123	481	3403
124	484	3394
125	487	3383
126	490	3368
127	492	3353
128	494	3339
129	496	3325
130	500	3318
131	502	3306
132	505	3293
133	507	3282
134	510	3268
135	512	3254
136	516	3251
137	518	3239
138	521	3230
139	523	3216
140	525	3204
141	528	3191
142	530	3181
143	533	3173
144	536	3162
145	539	3154
146	541	3144
147	543	3131
148	547	3124
149	549	3112
150	551	3101
151	554	3093
152	556	3082
153	559	3074
154	562	3068
155	566	3063
156	568	3053
157	570	3042
158	573	3033
159	576	3024
160	579	3019
161	581	3010
162	584	3001
163	587	2993
164	589	2983
165	592	2974
166	594	2967
167	598	2966
168	601	2958
169	603	2948
170	606	2941
171	610	2939
172	613	2934
173	616	2925
174	618	2916
175	620	2906
176	623	2898
177	626	2894
178	629	2888
179	632	2881
180	634	2872
181	637	2864
182	641	2863
183	644	2856
184	647	2851
185	649	2842
186	652	2835
187	654	2826
188	659	2829
189	661	2821
190	664	2814
191	666	2805
192	668	2796
193	671	2791
194	675	2788
195	678	2784
196	681	2776
197	683	2768
198	687	2766
199	691	2766
200	694	2759
201	696	2751
202	698	2744
203	703	2744
204	708	2747
205	711	2740
206	713	2731
207	715	2722
208	717	2716
209	721	2712
210	724	2708
211	726	2700
212	728	2692
213	731	2687
214	735	2686
215	739	2684
216	742	2678
217	744	2671
218	746	2663
